id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,rank,prediction_rank,confidence
desmond_ridder_CIN_2025,,Desmond Ridder,Desmond Ridder,QB,4000,4000,1.7,1.7,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,48,48,0
jacoby_brissett_ARI_2025,,Jacoby Brissett,Jacoby Brissett,QB,4000,4000,1.6,1.6,ARI,ARI,NO,@ NO,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,,ACT,49,49,0
dorian_thompson-robinson_PHI_2025,,Dorian Thompson-Robinson,Dorian Thompson-Robinson,QB,4000,4000,1.6,1.6,PHI,PHI,DAL,vs DAL,home,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,,,ACT,50,50,0
kenny_pickett_CLE_2025,,Kenny Pickett,Kenny Pickett,QB,4000,4000,1.6,1.6,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,51,51,0
case_keenum_CHI_2025,,Case Keenum,Case Keenum,QB,4000,4000,1.6,1.6,CHI,CHI,MIN,vs MIN,home,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,52,52,0
jimmy_garoppolo_LA_2025,,Jimmy Garoppolo,Jimmy Garoppolo,QB,4000,4000,1.5,1.5,LA,LA,HOU,vs HOU,home,Sun 09/07 16:25,2025-09-07,SoFi Stadium,2025_01_HOU_LA,,,ACT,53,53,0
zach_wilson_MIA_2025,,Zach Wilson,Zach Wilson,QB,4000,4000,1.5,1.5,MIA,MIA,IND,@ IND,away,Sun 09/07 13:00,2025-09-07,Lucas Oil Stadium,2025_01_MIA_IND,,,ACT,54,54,0
joshua_dobbs_NE_2025,,Joshua Dobbs,Joshua Dobbs,QB,4000,4000,1.5,1.5,NE,NE,LV,vs LV,home,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,,,ACT,55,55,0
skylar_thompson_PIT_2025,,Skylar Thompson,Skylar Thompson,QB,4000,4000,1.4,1.4,PIT,PIT,NYJ,@ NYJ,away,Sun 09/07 13:00,2025-09-07,MetLife Stadium,2025_01_PIT_NYJ,,,ACT,56,56,0
tyrod_taylor_NYJ_2025,,Tyrod Taylor,Tyrod Taylor,QB,4000,4000,1.2,1.2,NYJ,NYJ,PIT,vs PIT,home,Sun 09/07 13:00,2025-09-07,MetLife Stadium,2025_01_PIT_NYJ,,,ACT,57,57,0
brett_rypien_MIN_2025,,Brett Rypien,Brett Rypien,QB,4000,4000,1.2,1.2,MIN,MIN,CHI,@ CHI,away,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,58,58,0
chris_oladokun_KC_2025,,Chris Oladokun,Chris Oladokun,QB,4000,4000,1.0,1.0,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,59,59,0
austin_reed_CHI_2025,,Austin Reed,Austin Reed,QB,4000,4000,1.0,1.0,CHI,CHI,MIN,vs MIN,home,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,60,60,0
dillon_gabriel_CLE_2025,,Dillon Gabriel,Dillon Gabriel,QB,4000,4000,1.0,1.0,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,61,61,0
