nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0030565,G.Smith,Geno Smith,QB,QB,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,Geno Smith,,Geno,Smith,QB,7.0,75,221.0,1990-10-10,13,West Virginia,LV,ACT,exact_name_position,1.0
00-0031136,C.Boswell,Chris Boswell,K,SPEC,441eb531-1ec8-4f65-9174-78bc6adada63,Chris Boswell,,Chris,Boswell,K,9.0,74,185.0,1991-03-16,11,Rice,PIT,ACT,exact_name_position,1.0
00-0031236,B.Cooks,Brandin Cooks,WR,WR,b6b954eb-4591-4b7a-86b9-a481f15fdd58,Brandin Cooks,,Brandin,Cooks,WR,10.0,70,193.0,1993-09-25,12,Oregon State,NO,ACT,exact_name_position,1.0
00-0031237,T.Bridgewater,Teddy Bridgewater,QB,QB,d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7,Teddy Bridgewater,,Teddy,Bridgewater,QB,16.0,74,210.0,1992-11-10,11,Louisville,TB,ACT,exact_name_position,1.0
00-0031345,J.Garoppolo,Jimmy Garoppolo,QB,QB,42de9d1d-0352-460b-9172-9452414fd7fd,Jimmy Garoppolo,,Jimmy,Garoppolo,QB,11.0,74,225.0,1991-11-02,12,Eastern Illinois,LA,ACT,exact_name_position,1.0
00-0031357,C.Goodwin,C.J. Goodwin,CB,DB,6d62aaa2-fe41-4672-941f-7314a0b9b367,C.J. Goodwin,,C.J.,Goodwin,CB,29.0,75,190.0,1990-02-04,10,PennWest California,DAL,ACT,exact_name_position,1.0
00-0031360,K.Van Noy,Kyle Van Noy,OLB,LB,0ad845ff-44e8-4576-bc91-61b557e06f05,Kyle Van Noy,,Kyle,Van Noy,OLB,53.0,75,255.0,1991-03-26,12,BYU,BAL,ACT,exact_name_position,1.0
00-0031381,D.Adams,Davante Adams,WR,WR,e7d6ae25-bf15-4660-8b37-c37716551de3,Davante Adams,,Davante,Adams,WR,17.0,73,215.0,1992-12-24,12,Fresno State,LA,ACT,exact_name_position,1.0
00-0031408,M.Evans,Mike Evans,WR,WR,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,Mike Evans,,Mike,Evans,WR,13.0,77,231.0,1993-08-21,12,Texas A&M,TB,ACT,exact_name_position,1.0
00-0031484,C.Manhertz,Chris Manhertz,TE,TE,7c7b5515-7786-4e24-9ce0-34e6a8bd5727,Chris Manhertz,,Chris,Manhertz,TE,85.0,78,235.0,1992-04-10,10,Canisius,NYG,ACT,exact_name_position,1.0
00-0031503,J.Winston,Jameis Winston,QB,QB,fb3b36fc-b985-4807-8199-d038d7e62a93,Jameis Winston,,Jameis,Winston,QB,19.0,76,231.0,1994-01-06,11,Florida State,NYG,ACT,exact_name_position,1.0
00-0031588,S.Diggs,Stefon Diggs,WR,WR,a1c40664-b265-4083-aad2-54b4c734f2c5,Stefon Diggs,,Stefon,Diggs,WR,8.0,72,191.0,1993-11-29,11,Maryland,NE,ACT,exact_name_position,1.0
00-0031595,M.Burton,Michael Burton,FB,RB,80715ecf-ffc9-4a93-a305-2193451b3382,Michael Burton,,Michael,Burton,FB,20.0,72,247.0,1992-02-01,11,Rutgers,DEN,ACT,exact_name_position,1.0
00-0031610,D.Waller,Darren Waller,TE,TE,14c97c9f-26e8-4944-9299-f90de6aeada3,Darren Waller,,Darren,Waller,TE,83.0,78,238.0,1992-09-13,8,Georgia Tech,MIA,PUP,exact_name_position,1.0
00-0031687,R.Mostert,Raheem Mostert,RB,RB,b040e601-ec40-4757-bf3d-71bf64ef99cf,Raheem Mostert,,Raheem,Mostert,RB,31.0,70,212.0,1992-04-09,11,Purdue,LV,ACT,exact_name_position,1.0
00-0031763,D.Carter,DeAndre Carter,WR,WR,9ae2584a-40c1-4b30-be34-a9567659eacd,DeAndre Carter,,DeAndre,Carter,WR,2.0,68,190.0,1993-04-10,8,Sacramento State,CLE,ACT,exact_name_position,1.0
00-0031800,T.Heinicke,Taylor Heinicke,QB,QB,2c259733-ec2c-4e3c-bb7b-34dc0d37dc34,Taylor Heinicke,,Taylor,Heinicke,QB,4.0,73,210.0,1993-03-15,8,Old Dominion,LAC,ACT,exact_name_position,1.0
00-0031921,K.Lamm,Kendall Lamm,T,OL,a87f6156-c028-4634-84a8-e3388d6dff2b,Kendall Lamm,,Kendall,Lamm,T,74.0,78,305.0,1992-06-05,10,Appalachian State,PHI,ACT,exact_name_position,1.0
00-0032104,A.Abdullah,Ameer Abdullah,RB,RB,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,Ameer Abdullah,,Ameer,Abdullah,RB,38.0,69,203.0,1993-06-13,11,Nebraska,SF,ACT,exact_name_position,1.0
00-0032208,P.Dorsett,Phillip Dorsett,WR,WR,c682e8ea-fe48-45d2-af60-682a6125ab22,Phillip Dorsett,,Phillip,Dorsett,WR,13.0,70,185.0,1993-01-05,9,Miami (FL),LV,ACT,exact_name_position,1.0
00-0032211,T.Lockett,Tyler Lockett,WR,WR,dffa69ad-331e-4f09-ae38-40a5a4406be6,Tyler Lockett,,Tyler,Lockett,WR,4.0,70,182.0,1992-09-28,11,Kansas State,TEN,ACT,exact_name_position,1.0
